kan_name,kou_name,moku_name,setsu_layer1_name,setsu_layer2_name,setsumei_layer1_name,setsumei_layer2_name,setsumei_layer3_name,amount_2025,amount_2026,増減額,増減率,状態,増減額順位
衛生費,環境対策費,環境保全費,,,環境保全費,水質汚濁対策費,,19239,19236,-3,0,減額,4298
衛生費,環境対策費,環境保全費,,,環境保全費,水質汚濁対策費,公共用水域及び地下水水質調査,,,,,不明,
衛生費,環境対策費,環境保全費,,,環境保全費,水質汚濁対策費,工場排水等水質調査,,,,,不明,
衛生費,環境対策費,環境保全費,,,環境保全費,水質汚濁対策費,苦情対応有害物質調査,,,,,不明,
衛生費,環境対策費,環境保全費,,,環境保全費,水質汚濁対策費,ダイオキシン類等有害物質調査,,,,,不明,
衛生費,環境対策費,環境保全費,,,環境保全費,水質汚濁対策費,会議、研修会出席者負担金,17,17,0,0,横ばい,3510
衛生費,環境対策費,環境保全費,,,環境保全費,地下水等保全事業費,,1465,1465,0,0,横ばい,3511
衛生費,環境対策費,環境保全費,,,環境保全費,地下水等保全事業費,湧水量調査,,,,,不明,
衛生費,環境対策費,環境保全費,,,環境保全費,地下水等保全事業費,岳南地域地下水利用対策協議会負担金,1420,1420,0,0,横ばい,3512
衛生費,環境対策費,自然保護費,,,,,,14001,15593,1592,11.4,増額,1131
衛生費,環境対策費,自然保護費,報酬,,,,,2559,2742,183,7.2,増額,1981
衛生費,環境対策費,自然保護費,職員手当等,,,,,533,606,73,13.7,増額,2305
衛生費,環境対策費,自然保護費,職員手当等,期末手当,,,,459,518,59,12.9,増額,2370
衛生費,環境対策費,自然保護費,職員手当等,勤勉手当,,,,74,88,14,18.9,増額,2696
衛生費,環境対策費,自然保護費,共済費,,,,,448,493,45,10,増額,2432
衛生費,環境対策費,自然保護費,旅費,,,,,20,70,50,250,増額,2408
衛生費,環境対策費,自然保護費,旅費,普通旅費,,,,20,48,28,140,増額,2556
衛生費,環境対策費,自然保護費,需用費,,,,,751,627,-124,-16.5,減額,5016
衛生費,環境対策費,自然保護費,需用費,消耗品費,,,,323,313,-10,-3.1,減額,4457
衛生費,環境対策費,自然保護費,需用費,燃料費,,,,12,12,0,0,横ばい,3513
衛生費,環境対策費,自然保護費,需用費,印刷製本費,,,,209,44,-165,-78.9,減額,5078
衛生費,環境対策費,自然保護費,需用費,修繕料,,,,207,258,51,24.6,増額,2401
衛生費,環境対策費,自然保護費,役務費,,,,,443,488,45,10.2,増額,2433
衛生費,環境対策費,自然保護費,役務費,手数料,,,,125,170,45,36,増額,2434
衛生費,環境対策費,自然保護費,役務費,保険料,,,,318,318,0,0,横ばい,3514
衛生費,環境対策費,自然保護費,委託料,,,,,5854,7515,1661,28.4,増額,1109
衛生費,環境対策費,自然保護費,使用料及び賃借料,,,,,790,198,-592,-74.9,減額,5417
衛生費,環境対策費,自然保護費,備品購入費,,,,,403,654,251,62.3,増額,1850
衛生費,環境対策費,自然保護費,負担金、補助及び交付金,,,,,2200,2200,0,0,横ばい,3515
衛生費,環境対策費,自然保護費,負担金、補助及び交付金,補助金,,,,2200,2200,0,0,横ばい,3516
衛生費,環境対策費,自然保護費,,,給与費,,,3540,3841,301,8.5,増額,1770
衛生費,環境対策費,自然保護費,,,給与費,自然巡視員　１１人,,264,264,0,0,横ばい,3517
衛生費,環境対策費,自然保護費,,,給与費,パートタイム会計年度任用職員,,3276,3577,301,9.2,増額,1771
衛生費,環境対策費,自然保護費,,,自然環境保全費,,,7736,8976,1240,16,増額,1215
衛生費,環境対策費,自然保護費,,,自然環境保全費,自然環境保全事業費,,73,63,-10,-13.7,減額,4458
衛生費,環境対策費,自然保護費,,,自然環境保全費,自然環境保全事業費,自然公園法許可申請受付,,,,,不明,
衛生費,環境対策費,自然保護費,,,自然環境保全費,富士山麓ブナ林創造事業費,,6208,6650,442,7.1,増額,1616
衛生費,環境対策費,自然保護費,,,自然環境保全費,富士山麓ブナ林創造事業費,ブナ等苗木の植樹,,,,,不明,
